Tick,Region0,Region1,Region2,Region3,Region4,Region5,Region6,Region7,Region8,Region9,Region10,Region11,Region12,Region13,Region14
32,3493.1460193449702,4849.985381507269,703.4010702552221,473.295871293618,668.4778466642379,2541.8654225730425,6811.689549004832,13170.306963178311,4300.060504042151,1269.029205801216,9060.437044950937,2950.7283905714676,2834.6809397596276,14498.144622120732,2947.092206216001
63,3448.9471443888815,9060.437044950937,2834.6809397596276,2950.7283905714667,14498.144622120724,2947.0922062160016,4925.245842090899,12900.07131078615,1284.6965735494698,699.0308637073188,563.873751153932,4319.2994139000275,722.9127085868452,6929.915977307786,2487.2642481935645
94,3448.9471443888815,9060.437044950937,2834.6809397596276,2950.7283905714667,14498.144622120724,2947.0922062160016,4925.245842090899,12900.07131078615,1284.6965735494698,699.0308637073188,563.873751153932,4319.2994139000275,722.9127085868452,6929.915977307786,2487.2642481935645
125,3448.9471443888815,9060.437044950937,2834.6809397596276,2950.7283905714667,14498.144622120724,2947.0922062160016,4925.245842090899,12900.07131078615,1284.6965735494698,699.0308637073188,563.873751153932,4319.2994139000275,722.9127085868452,6929.915977307786,2487.2642481935645
156,3448.9471443888815,9060.437044950937,2834.6809397596276,2950.7283905714667,14498.144622120724,2947.0922062160016,4925.245842090899,12900.07131078615,1284.6965735494698,699.0308637073188,563.873751153932,4319.2994139000275,722.9127085868452,6929.915977307786,2487.2642481935645
187,3448.9471443888815,9060.437044950937,2834.6809397596276,2950.7283905714667,14498.144622120724,2947.0922062160016,4925.245842090899,12900.07131078615,1284.6965735494698,699.0308637073188,563.873751153932,4319.2994139000275,722.9127085868452,6929.915977307786,2487.2642481935645
218,5027.978229325314,12930.53774525475,4271.308573818704,2635.857607426268,764.9159571761053,692.912472737609,3418.186197359061,657.8411343305921,1250.7783728293462,7241.229786235386,8985.69069788022,2747.0143951035016,3039.122166555582,14122.897619597,2786.0700816541926
249,2762.7826331601445,2408.9799217660347,2692.7960317553743,13360.095955396573,7285.67777381903,12939.434104232188,5476.058414426521,9077.372620307771,3612.8887795239143,3096.364718324644,797.2893662896782,901.4906119033355,705.3140208534412,1196.2379736999978,4259.558111824984
280,2296.67079544074,3973.863140713211,3051.9447648391806,784.0110666845964,12457.740743514645,8967.528869390057,3148.3363693175197,6060.081339999845,13002.128490916053,2723.0785335758096,1137.8034412782827,4076.1815656508097,876.2382325467652,1130.6023589170518,6886.131324499067
311,1298.7188878230202,3165.548813719857,1148.5709041108569,12761.598144632275,4164.946949025399,7037.144705178622,1024.3156459501358,6194.131716913683,976.8945263238397,4245.735148464809,8739.933566948153,3253.018472068873,2166.5292355910105,11555.455614221986,2839.7987063111127
342,3977.750511693821,1442.1076769682393,1084.3290327727316,7509.259165250384,4691.165608083922,2914.368132059358,12341.315435116694,6277.879022621875,1287.9744501243415,1224.9465436026157,7951.421664274446,3565.728084579662,1992.9417528513254,11358.982056281788,2952.1719010024244
373,3780.5254917846037,2783.28824655254,1967.856525571432,1600.2191423739018,1296.0947530024587,5108.67095513942,1506.3000516310613,1285.8958782752495,2703.630739603659,11222.39296053187,3914.146513148566,7718.175837754663,8258.360801630288,11365.76724305725,6061.015897226674
404,1954.1586459395944,2562.0794070577067,3863.3629467984574,1287.4836527931966,1705.6068453971884,2502.2258608657567,5270.748894130424,1464.9488573763545,1687.9321854529526,10792.786068562029,7113.272754010265,4171.668203377783,6278.317725222953,11333.571806909342,8584.177183389631
435,3945.0310308846765,1969.021659026981,2593.388934410279,1942.2611358836666,2543.085132734954,10268.576709211688,6295.673290235598,4606.229990723908,10640.017083669856,8760.993244791993,1829.8471929265008,1335.2964565132424,1789.8840379854933,5757.293490664404,6295.741647620391
466,4559.254496410577,2005.8178206374982,2422.181084883565,2360.3996506080234,1936.5490210981156,1363.7081096649956,1965.8066548869908,6243.598150859805,9825.936713221467,5041.106623742515,1910.363192518605,5351.277949896182,6951.803530813427,10463.493864892815,8171.04417314906
497,4875.556734691878,2096.43120021729,6881.555530666806,1442.0298484748396,2059.6610313394112,8001.119587162384,2583.715022974173,2113.2585668033844,2072.0028202400026,8891.839310693405,5442.826842343601,1754.3427531892926,5097.126016233289,10481.509971721367,6779.3658005325115
528,6892.112457656239,7888.963640548398,1493.4941423217747,5972.423926889544,4323.43352146635,7417.071895517915,2274.497318067946,2299.57715232042,7984.959648274272,1553.2124871587655,2670.6100538216724,10520.117860952865,5126.348688931913,2153.324284535072,2002.1939588204873
559,7268.777710657952,7858.841896570113,7168.082744258913,2165.362071930858,2496.0933639846917,2562.167595913966,1242.9784878955204,6267.649969334919,1998.560476932029,3837.730057297705,7535.608114643217,5817.62945167329,9761.86586397168,1805.53473686713,2785.45849535165
590,7586.442153555257,2218.126090350512,2606.2447570207473,2791.7283281741734,2042.726924352175,949.4465347792856,6379.055435561493,3283.4974311776105,9177.866047546511,7444.705553523617,3209.0821736913726,7000.85173028025,7514.486713051024,2203.1731265725434,6164.908037647062
621,7802.585810824075,3019.6766748396444,859.1359283080196,7488.118743608795,2248.081297500625,6135.667885286064,2649.5791730880546,2142.858740879081,7104.985346193296,8894.28281391949,3515.8937785634203,6840.669891233632,6458.4256149939165,3472.572282097135,1939.8070559483815
652,8303.332526064398,2816.9383355389914,797.7617044539668,7187.840442741986,8790.276768757982,6594.885144254582,2679.206918580488,2148.643654665815,2165.99753587003,7665.152762042702,3346.6039399771885,6500.506689707031,2228.4091801180325,6165.814592480285,3180.9708420301604
