Tick,Region0,Region1,Region2,Region3,Region4,Region5,Region6,Region7,Region8,Region9,Region10,Region11,Region12,Region13,Region14
32,1905.042882942906,6746.652532232737,5907.313624651614,1881.1109339224727,1914.650764331594,6342.57174724986,1865.5363636363636,5989.624516532354,7606.117031331983,6398.784585940691,9896.118046816902,1957.333504130199,2215.3182501805823,5918.542569410929,4027.623683972447
64,1853.9588960253259,6526.527851545947,5875.828414769113,1880.0545820585126,6272.866795449956,6633.232130394828,6167.735522785841,9885.799591221203,1863.6536918541462,3051.521909521318,6154.5214579201975,2038.9691406078985,8181.428147371185,2193.317522028956,1992.925383729207
160,6368.403144739437,1935.2094190114888,6131.091393211123,1895.1434042130365,5690.240869344765,6838.2043488466,1826.2762702783455,9850.657294165541,3898.2200294567556,5972.583993187734,2166.2465478299973,1930.427854664561,7677.909068505838,6449.2961964882,1942.4312033402084
192,6571.740775115992,1861.691461087736,5787.990033551513,1950.9229879408012,6075.178418385032,6492.4921032645925,6413.412909646923,1689.8525675661906,9357.946723335417,3627.224340312742,6395.867945781178,2091.607149299113,7801.734400403394,2500.721592839929,1953.9576287530808
224,6755.712106282547,1819.32263186375,6021.158542893336,5892.692698930106,1908.5283059645876,6688.59895404883,6140.322153093553,1751.5838958747381,9411.988186701961,3547.506989024073,6322.745418901425,1852.5291828793775,7965.822400302566,2458.1241704155723,2035.7054001072124
288,1776.3254177860233,1925.432553034717,6245.6291828452995,5648.394546152419,6595.827844810677,1849.1745444580868,6334.845504007082,6277.710385527635,9674.109771724312,2517.923518785574,6672.374130591195,1924.5895434858835,8526.617062904577,2491.2523902406974,2112.1346409294515
384,6759.126288655427,1868.073549217238,5806.174096766816,1957.4202266671005,6001.800813660156,6396.067874285818,6219.996448750815,1790.9282449665072,9585.013579042215,3686.1555292272346,6654.7874926403965,2121.51352744816,7515.413997004262,2255.647319314333,1954.2220496371547
448,6405.620690049688,1629.6766965414615,9516.933260925824,5840.7662564021375,1889.3261006020455,8584.663011763376,2018.15250155003,1778.8968568236219,6903.723734470762,5957.427042883841,5987.068042791582,2305.2979721549636,2283.7079170361485,6934.739763296477,2536.341189991674
480,6168.883358760558,1796.1725893860428,9825.897070233035,8034.566879043901,1936.24296086006,2050.040270410994,5670.356523263034,2032.404441373865,2183.0109095890366,6577.475559163581,3264.07283564302,1728.669599065978,6308.610205603102,7012.623207333359,5983.3146275540685
512,6632.880472081935,1814.6567049883047,1941.3629636338326,2384.6998891591074,6015.7246098559945,5823.76457737786,1959.9301995802934,6524.215003842903,8420.81337344171,2543.8030353150098,2394.2330905528584,6041.623270681897,6043.596795743572,9916.571716507808,2114.465334520543
576,7958.617487979593,5337.3128068197275,5881.680496384197,9825.661344622382,2215.1727657440206,1471.009308274003,1832.3527370222596,10230.35661822378,4858.039485229163,2929.452924991665,1961.2569222705097,10041.713123844873,2454.9964352366146,2007.4869415391029,1567.2316391017498
608,6381.714991029041,9750.063230523188,2389.4433890774203,2399.6226567175636,2732.749720116624,2300.535228185601,9024.359180619691,5577.2545987894255,1774.5081516185683,2383.350062180336,1825.8129032258066,5396.363477598903,7193.016095136922,1602.0233148572884,9841.524037607258
640,5144.108643998523,2449.575163727896,2906.3347467239314,9075.396000758941,7485.362740129653,2895.0540891646606,2062.872862087327,9099.580321075462,5611.173931573693,1465.908853410881,6116.83870719684,2664.842456897709,9522.59124417554,2467.834263143666,1604.86701321891
672,9664.986738390151,4893.913466998831,5293.206376215697,9401.128672911394,2123.8503668001226,2547.7774484544107,2659.849627828426,2578.1648809640355,2450.5047888831887,1495.7186038874038,1842.6551173163512,8895.26272699326,6863.569478601317,2961.54188069549,6900.210862343553
704,7665.692133882392,8821.050525151064,4270.977316578129,1944.2814476315298,8844.007486656692,1917.1740595797698,2989.636657936999,2950.364229658301,3348.751737507723,1434.983968952997,1945.8900588436181,8420.660823566644,8639.240960892725,2395.499345603509,4984.13028484154
736,2445.875420577512,8628.5080677588,5020.938771398246,1707.0012895488312,7878.872004854012,1570.9013384918358,1966.3696949766356,2072.3023315668993,2998.250083374768,3761.5117091481375,9239.88000567395,3477.1466203948908,3667.9748190223336,8543.103186712726,7593.705693784061
768,2003.1654413857925,2819.474971408497,2517.1288696604006,3602.7779064850083,2017.3874156950606,9132.563178592896,3724.4512497627593,5050.075985341124,8380.686057897121,1595.3235580402006,7036.859073031817,1418.0234793878076,7783.854158769129,3484.501510184602,10006.06818164142
800,2990.0274395106067,2480.1924653336746,5253.972457240875,3445.593886818177,3221.0782842537087,8350.008827609909,2333.7778463384248,2045.1556257573761,9251.764357538084,1706.746197009603,1416.1738193540473,6013.381481410926,10870.60139373075,3368.9529638589374,7824.913991518533
832,3069.1349535801705,2892.5379595891363,2169.24241862096,2449.8767438157665,4691.106617605602,3126.3584976600087,7741.0691555412595,9098.39799944312,2887.6728333421984,8428.20703154667,1687.6571317031382,1645.6906866029015,3423.2880307166406,6825.797432848769,10436.303544667293
928,2335.5058705540114,6617.022639921494,4349.616685402696,2139.1464801268617,1847.8126166132063,7080.7273638327415,1385.8757868627326,8864.026699123091,10524.035388527827,1602.7858694278068,7458.775488227338,3884.1687180796243,2737.4930533280167,4432.100640019482,5313.247737236703
1024,5783.3117801729395,6249.330284797144,5989.370965227074,2068.643698116131,7637.8248960230085,2402.9824732969537,1004.8285478939154,1714.5576049120355,3312.1998847483196,12823.770441037546,8824.493235256212,1563.8836704962218,3824.9572527664022,1855.8889618119042,5516.2973407278205
1088,1191.1913911244526,2985.143569028296,2353.7839755063183,8004.384749146551,3467.5383061749744,4794.638033066211,1505.9467147435898,2624.0761887701956,3446.1404780863327,1879.948198321884,6254.358918033263,4102.047836739486,4423.096578643043,9676.04426920229,13864.001830696747
