Tick,AreaPerBot,AreaRef,Region0,Region1,Region2,Region3,Region4,Region5,Region6,Region7,Region8,Region9,Region10,Region11,Region12,Region13,Region14
32,4720.714581504343,4720.714581504343,-3990.4140023819696,2867.8780704747714,-4279.318466538042,3402.9968717205256,-2776.934561757671,10745.155007220703,8359.22194783717,-2683.893173052822,-1755.510670356427,-1863.606809292416,-4088.129266443028,6234.723433313996,-2696.9749006156862,-3319.9976055862035,-4155.195874542905
63,4720.714581504343,4720.714581504343,5654.110706066195,8346.02080931907,128.5909397264968,-2683.8931730528193,-2776.934561757669,-1755.510670356426,10541.013182367285,-4077.998608986982,-3640.1516092569686,-2223.1006231052847,-3724.946251163626,7591.382820348218,-4015.569335844633,-3287.0699508112148,-4075.9436734916135
94,4720.714581504343,4720.714581504343,5654.110706066195,8346.02080931907,128.5909397264968,-2683.8931730528193,-2776.934561757669,-1755.510670356426,10541.013182367285,-4077.998608986982,-3640.1516092569686,-2223.1006231052847,-3724.946251163626,7591.382820348218,-4015.569335844633,-3287.0699508112148,-4075.9436734916135
125,4720.714581504343,4720.714581504343,5654.110706066195,8346.02080931907,128.5909397264968,-2683.8931730528193,-2776.934561757669,-1755.510670356426,10541.013182367285,-4077.998608986982,-3640.1516092569686,-2223.1006231052847,-3724.946251163626,7591.382820348218,-4015.569335844633,-3287.0699508112148,-4075.9436734916135
156,4720.714581504343,4720.714581504343,5654.110706066195,8346.02080931907,128.5909397264968,-2683.8931730528193,-2776.934561757669,-1755.510670356426,10541.013182367285,-4077.998608986982,-3640.1516092569686,-2223.1006231052847,-3724.946251163626,7591.382820348218,-4015.569335844633,-3287.0699508112148,-4075.9436734916135
187,4720.714581504343,4720.714581504343,5654.110706066195,8346.02080931907,128.5909397264968,-2683.8931730528193,-2776.934561757669,-1755.510670356426,10541.013182367285,-4077.998608986982,-3640.1516092569686,-2223.1006231052847,-3724.946251163626,7591.382820348218,-4015.569335844633,-3287.0699508112148,-4075.9436734916135
218,4720.714581504343,4720.714581504343,-3989.4682251781446,-2828.9265505816943,-2774.824362731664,-1715.0631993558745,5867.781147412943,10545.583929990284,7968.886151522314,8284.79518378409,-3329.597290908412,-3616.9835562756575,-4024.438010213487,-57.563112094449934,-3988.425951231877,-3960.1485295177463,-2381.607624620636
249,4720.714581504343,4720.714581504343,-2772.0623156236834,-2924.679248875401,-1691.5293748846261,-3919.6834790208827,-2576.6673271467434,8247.909329060982,-3812.8639670578486,-3952.8400999355836,31.58425107995845,-4107.433488142148,10432.18689788031,8194.214556249211,5774.1673717858785,-3406.9303605913,-3515.3727447781384
280,4720.714581504343,4720.714581504343,-4188.8916577759055,8195.534887832395,-3016.3036918725556,-2663.1516155207214,10160.140552715407,8075.146655945422,-1519.3158796784624,-3674.9207991453945,-3849.9558261812836,-2518.1727782579765,-3275.9416586032157,5747.89526828282,-169.4008843300935,-3418.9949251508324,-3883.6676482596054
311,4720.714581504343,4720.714581504343,-2567.916934209419,-3039.941559792561,-1532.0335268558565,-525.1251971648317,-3405.335622808323,-3161.9160955851553,6054.204022600909,-4179.728096985805,8017.988469754714,9918.295628112246,-3766.205490471939,-2303.6218187254763,7845.403517003996,-3505.211960523071,-3848.855334349422
342,4720.714581504343,4720.714581504343,7539.775722540273,-2393.149108223631,-1170.953343905555,-3154.829014897125,7006.033638450075,7186.814961948365,-3009.849671659599,-1452.8742500975095,9556.781964676285,-3394.738342878376,-3629.4468092206,-1745.234930607559,-4134.516322924653,-3472.32615168786,-3731.4883415125378
373,4720.714581504343,4720.714581504343,6933.989596471253,-2269.3637409817957,-805.0381562668363,-3155.792778007994,8080.695064123255,-2472.5903319701024,-2958.4872186604725,7425.896970699497,9210.818556083625,-3265.33615300532,-3510.351296031659,-4149.973229620062,-2030.2147574154014,-3494.0686167645763,-3540.1839086534064
404,4720.714581504343,4720.714581504343,6856.93169816353,-2232.7786175686388,-846.180188878554,-3203.009826562421,8787.268377465803,-3017.6644218090514,-2986.763030308686,5676.113907243115,8871.439961698936,-3158.4763121022083,-3528.9712065266776,-4154.804535081175,-312.10141767300775,-3345.730515981088,-3405.273872079892
435,4720.714581504343,4720.714581504343,6439.695368589309,-2304.7119201482346,-531.7711216254384,-3348.117250069118,8367.30092251131,-2631.2718283400955,-2962.859650566581,-516.1991399767485,6119.824094335653,8592.1803619005,-3106.4151882055776,-3122.7748531409243,-4147.577907948438,-3609.4280534309646,-3237.8738338846497
466,4720.714581504343,4720.714581504343,5854.208660428195,-2152.593791292837,-101.93056764688845,-3327.608340366747,9521.540943861677,-3596.3680022399467,-2882.8273634668976,1254.697694860487,8137.002948987428,4335.493716811795,-3052.4322898638297,-3007.0525087804303,-3165.49589700544,-3642.4579810410246,-4174.177223245532
497,4720.714581504343,4720.714581504343,6442.5195703105,9439.619257537375,-3599.928817796448,-2865.0930811861253,1375.5451804359209,-1989.7323816894686,4203.932251037539,7866.485050966065,-3391.293387964042,-641.149721744152,-3017.750325170466,-2955.4976753563806,-3088.742465390762,-3626.6267029693786,-4152.286751020184
528,4720.714581504343,4720.714581504343,6238.952271606862,9955.602949961467,-2783.4046467308035,1956.6483699222536,-3916.8589396060174,-1716.1381745024087,7302.811845069276,-3522.452207613792,-660.9956135046446,-2854.4397348066996,-3723.2303777080097,-2895.962321655668,3699.9619031439943,-2907.9101467707887,-4172.585176805034
559,4720.714581504343,4720.714581504343,-2635.2929915996356,4912.4600933498905,10239.086463728727,2510.5871511109845,-3934.0633742388372,-1468.7528664259553,3216.1065282449945,6886.125287416614,-3602.5894002157256,374.22612051470605,-2812.2872471494343,-2866.2316659754015,-2770.8629586498246,-3839.5422899838627,-4208.968850127236
590,4720.714581504343,4720.714581504343,-2562.1576992818023,4007.9323120381723,10321.1295908897,2681.1988420972975,-3952.989598602783,-1700.339113075202,3081.0617395795543,6968.4734554383285,-3759.069472463379,1226.9765366837992,-2837.5479654336987,-2708.1461838494793,-2555.246160057224,-3985.421956333742,-4225.854327629545
621,4720.714581504343,4720.714581504343,3760.916671841821,-4002.93084600293,-1649.3026953470935,6824.106037305916,1394.2402950224587,2736.195170523396,2992.7264024686347,-2462.681449522465,10447.243888975889,-4002.075802226869,-2685.0023327061263,-2692.8635674737184,-2304.591226364747,-4230.718206251327,-4125.262340242856
652,4720.714581504343,4720.714581504343,10500.670920981622,-2231.8113165525983,-2233.356859847405,-4066.291094743581,-4048.111557907756,1150.4149502471837,3693.690811742231,2986.6326818236275,-1512.3888397030582,6548.133581968078,-4214.377616188567,2814.6352995523894,-4195.5377997254345,-2671.8885681454854,-2520.4145935012652
683,4720.714581504343,4720.714581504343,10474.85779055546,-4040.868179384126,1051.243003522277,3450.0626644842814,5808.855170119472,-1032.7706018107683,-1978.7023719445492,-4135.962336726797,1949.601814093904,-2074.719110297402,-4228.945910350165,-4217.952113717652,4067.862042714454,-2659.4841511943937,-2433.077710064006
714,4720.714581504343,4720.714581504343,10309.226984822242,-4040.9821918296,3101.1101572827365,1223.9076956916597,4173.806033802003,975.9377749247797,362.0836936844926,-1857.3080038706867,-4150.76164412058,5240.187055718808,-2408.13606833577,-4206.541446735487,-2653.6462628353697,-4204.5613278780265,-1864.3224503211995
745,4720.714581504343,4720.714581504343,10188.341625170866,-4057.206117990883,3237.6813417113517,1069.6858148811698,3217.647928707722,1072.5466086470296,-1765.1698415907254,-4139.352616451052,-1757.6125588348482,-4170.482183709818,-4194.418676251609,-2364.3783277880398,6031.70398308533,-2676.172487481281,307.1855078947792
