Tick,AreaPerBot,AreaRef,Region0,Region1,Region2,Region3,Region4,Region5,Region6,Region7,Region8,Region9,Region10,Region11,Region12,Region13,Region14
32,4704.822735818907,4704.822735818908,10116.475080230208,8496.909188344835,2604.171839996331,-797.8124089226053,-4053.219966802859,-2682.5880217083095,-1462.6453393905836,-1540.5422654346153,3449.7520000886807,-1694.5396305337395,-797.9079736551621,97.50828663943139,-3341.594406626891,-4185.977312430885,-4207.9890697938135
63,4704.822735818907,4704.822735818908,9617.258955848496,7957.868160724962,-4040.7624022043124,353.93661444866393,-3276.8066374693335,-3973.263042125747,-5.55924405200858,2656.95831162411,-4073.3922703151216,-1916.1729950168547,-912.9634840373569,-2720.7074008009995,-1572.072498892293,-1338.0870698071944,3243.765002074999
94,4704.822735818907,4704.822735818908,9278.559792618857,-3872.153245371776,762.5866329628998,7882.094162444496,2473.7702505240613,-2753.531649675449,-1736.1886334114647,-1143.1671383259823,3164.589163582902,-1933.018286434999,-959.5625717558532,-3293.460973126511,-3971.9454232332014,-3964.675596988642,66.10351619068024
125,4704.822735818907,4704.822735818908,7373.562430183112,8821.60836283573,-2637.8703273453284,-1950.0248857692582,-976.1663886430179,3384.0486142036207,-3933.2422436620327,-223.8103410756812,-3271.0795600046904,2885.14664035027,-1056.6776568674595,-2016.969585091807,-3943.4582794352746,-3751.9954698173374,1296.9286901391552
156,4704.822735818907,4704.822735818908,6993.59380517092,3406.321514312661,-2504.6744523579227,-2297.58650968673,8752.57155976556,-632.3020703631792,-3950.0417460357125,-523.3824250970256,-3278.6887899292406,2915.782158002359,-1162.509752941497,-2110.1469986508355,-3884.684385569211,-3666.24708862874,1941.9951820085944
187,4704.822735818907,4704.822735818908,6306.69467407456,-3996.5128562429977,-760.1372646700547,-3257.4698577884687,3339.683506420851,-1317.2393371203757,-2218.6756128644583,-3868.14152775861,-3612.297711516885,3210.8012319899253,-1541.2467624713595,-2641.828815565426,8649.164813308726,-671.0075413775585,2378.2130615821443
218,4704.822735818907,4704.822735818908,-983.1175344663475,5530.058653648405,-4019.7765939221863,-924.7122578626331,-3231.0976357023837,4169.56949099931,-1566.6897466765763,-2366.8133040107177,-3888.9039092510675,-3597.136187848053,2459.3458388402205,2518.442120553321,-33.793191156228204,-2898.1458737751095,8832.770130630037
249,4704.822735818907,4704.822735818908,-769.4831711765546,-3558.8671140903116,2922.405182003129,4102.813720588145,5061.715677969232,2192.2249312517106,647.8544795574508,-3027.0537557299144,9088.199938530059,-2342.245452602615,-1966.9748249917156,-3258.7103754046416,-4056.9173162958114,-3900.124388767683,-1134.8375308404716
280,4704.822735818907,4704.822735818908,-675.0682105861697,4620.174196045174,4234.049846538418,-3581.696742819143,2963.281564439959,-2498.8814974895663,-2122.5085874703864,-4107.953993616159,-3284.9744094761563,-3979.6658763943515,2346.7970635585352,-3102.6612345280273,-1264.1545213925724,9405.693849562853,1047.568553627607
311,4704.822735818907,4704.822735818908,-638.1992127074323,2827.9187761388666,4206.1821231402055,-3627.8583860967165,-4066.241589342813,4271.296604060121,-2600.949073604694,-4125.823475279571,-2238.971046902562,-3292.371453037856,2635.3677091182954,-3136.524347649046,-1424.2277486042503,9774.663381161856,1435.737739605588
342,4704.822735818907,4704.822735818908,-3097.6570549056823,-3670.9354039787486,-4151.575838434785,-2218.1092244768215,-2642.916878916512,-4117.4490681816205,-3298.8964910451346,10283.721459593558,-1691.855344412295,3713.0553799865793,3015.6470406257904,4107.337374417773,971.1842014300173,24.860683964760938,2773.589164333127
373,4704.822735818907,4704.822735818908,3082.8297759296393,466.5774658593218,3510.1179327365453,10785.701616976257,-3117.8729021230242,722.8168814287501,-3773.95778473619,-4161.1911696891675,3324.235440540243,-2178.9872224837463,-3346.653766355292,-4129.888289380352,-2757.0117475594006,-1670.070441498991,3243.3542103554028
404,4704.822735818907,4704.822735818908,-594.6921793562751,1843.5086241484378,4140.539746172444,-3118.759499567428,-1637.5043100422195,2671.127006477198,2547.440709403966,11188.206939127656,-3366.554268636387,-4128.2200765107345,-4151.600153497595,-1916.5378153528181,-3012.9984206100826,3400.3808612986204,-3864.3371630547767
435,4704.822735818907,4704.822735818908,-1600.5086195964914,2202.0876182545135,1612.19033247682,11408.159441631435,-967.0842777751368,4856.45484581416,-3214.3219085733053,2350.705836569996,-3372.3679687346666,-4139.2370447457015,-4148.535501324302,-1787.5428551266727,-2974.8278181050164,3720.000228384706,-3945.172309150334
466,4704.822735818907,4704.822735818908,753.7949495105868,-1333.929249378697,2846.155103872258,-3129.9971396169367,5421.67995337193,1705.8987646462201,-1516.4698155003807,11385.978743826388,-3380.2895252909643,-4134.034861989246,-4148.6246857409715,-1574.5480504057805,-2942.8007175402186,3962.950927763314,-3915.764397527485
497,4704.822735818907,4704.822735818908,123.50383227406019,-1277.6400773689093,2891.389634390476,-3004.8505008923803,5865.207439143118,-1431.0254057856773,1536.8536288771666,11431.341757365622,-3412.269223475475,-1438.0774981393738,-2926.3065295951446,3837.439543959861,-4141.855845467794,-4153.328942483036,-3900.381812802511
528,4704.822735818907,4704.822735818908,-315.3721089528317,-1349.9291103037694,-1268.6889863341962,3261.183066176597,-2960.36088323326,6065.361057157042,1624.3551875553258,11140.60949232769,-1101.1214208496745,3340.161195395921,-2793.79599456518,-4151.264365861807,-4157.455626068184,-3916.5596111245723,-3417.1218913191096
559,4704.822735818907,4704.822735818908,-713.8978504044999,-193.46465499097394,3367.3581124071807,-3534.8204362066945,5808.805377856111,1763.115941371857,10974.461683376445,-1244.3221043813542,-3406.600125909647,-1083.7941063289181,-2337.3808292420217,2832.7671143153684,-4140.473767800876,-4146.743767360014,-3945.0105867019697
590,4704.822735818907,4704.822735818908,1412.6085721000545,-2005.6256144113581,-1045.857233533914,-3953.5821603495842,2485.899257191133,11080.747044240215,684.7697720763008,-3744.4003495311845,6052.8767428324245,2867.932497708931,-4142.405097820359,-908.4699066407106,-1241.9911879275642,-4157.2566642489355,-3385.24567168545
621,4704.822735818907,4704.822735818908,-3900.7906049548055,-1229.423038961144,6503.437261474231,2443.041226306511,1493.289790402745,-1416.711152400865,-3344.2063351782176,-134.05495202191378,-4137.000450363616,-4137.900833338624,-3944.680728701676,1000.4321284926109,-2099.868112851245,10944.959248353007,1959.476553743024
652,4704.822735818907,4704.822735818908,-4012.917140507051,6675.5142076019465,553.4819046390094,2270.7438948656527,2730.829081854851,-1527.0248745053873,1716.9041517613887,849.654429168163,10174.665164628033,-1582.2676331155303,-2304.1615023263275,-4097.06584376862,-3352.7020618665733,-3955.0862445307494,-4140.567533898814
683,4704.822735818907,4704.822735818908,-4109.075746542867,7195.65826738507,3585.969979249392,2013.4772686570395,-4125.50894029528,-4054.512493582984,-1976.7916225323715,1571.8396070181489,1488.0350937116327,756.4984070947621,-2442.250047574723,-1964.4381963968317,-3953.202980568666,9374.76321864817,-3360.4618142704917
714,4704.822735818907,4704.822735818908,-4100.069208268184,-1570.2730591541726,-2496.0326813096817,-3983.0536878376956,-3419.4556505659784,-2257.345889063942,-4156.479824729169,-4003.520272562351,1292.8037380902924,7828.824048440501,1369.3163578667172,3793.2916559218356,833.1240848537736,8683.864874205208,2185.0055141128496
745,4704.822735818907,4704.822735818908,2433.770616839147,-2889.7642716301893,-4062.2820907612045,-3976.1953400939074,932.317886300476,7957.55558031693,-4008.625716959613,1605.2939642203974,775.0725631550085,8430.850461783108,3863.8087653918847,-1346.020661492329,-2088.2057645879677,-3432.919104381263,-4194.656888100474
776,4704.822735818907,4704.822735818908,2836.7790164145945,3527.8414620203375,-3909.4326643687295,-3030.6063980519657,-3974.9860264085823,635.7335913227598,-2061.1755028531425,477.1899914457599,7243.946439469318,9130.005431339367,-4174.687312513055,1909.8777431594872,-1195.4821536966151,-3414.489516605486,-4000.514100674058
807,4704.822735818907,4704.822735818908,-854.4168071708723,3320.614378907024,-3702.498404119211,2985.687517700925,-3394.9474233909923,-4187.938577188923,-4042.0336241771533,9640.360206397378,2103.6127116285807,203.58982350945462,-3258.1304342197373,6736.339777367856,536.7780952846142,-2095.3492683125714,-3991.667972216361
838,4704.822735818907,4704.822735818908,-650.69295684997,-4210.7947388139355,4364.919513411144,9719.983987740721,1373.6893469503757,-2847.8301527559165,2594.105295529018,-3366.733621437556,-4113.314243194576,45.38916922962926,-2160.668211884129,435.8538278128299,6353.316569880589,-3519.580631821432,-4017.6431537967806
869,4704.822735818907,4704.822735818908,-1276.3417633502672,-1294.9059649325277,6027.07530639184,-3750.8173525785774,5693.370092314923,9807.326768571884,-199.25281252710283,-4190.375408598959,-2195.4784768988975,451.16804464027155,2531.747535733648,-3338.888423089408,-37.770788161230485,-4174.141111243059,-4052.715646272529
900,4704.822735818907,4704.822735818908,-4203.797573298334,7229.837349641556,9619.549316450542,-201.7167923555062,-3054.56948324317,5.8102763967317514,2494.4844777315902,-3342.7962381395373,-4166.496811067564,-249.77015858047253,-2072.855475567715,139.26075328885508,5833.47528317074,-3917.612156711476,-4112.802767716221
931,4704.822735818907,4704.822735818908,-3420.128353671814,-4191.6091909371535,-4110.549868217581,-4147.112149903321,-4005.2322476299196,-15.356158185770255,5667.157324295101,-521.212095703183,-1801.233193322602,9366.036671181148,2275.6723491626835,-3624.4880087308356,7780.488285869545,508.4053977734775,239.1612380202405
962,4704.822735818907,4704.822735818908,-3908.786581499192,483.9345892920628,7928.212297522955,1288.2689337274314,-4023.1263442197974,-4093.0406838469307,-324.7669350626411,5713.889963983495,-853.9628683040755,9200.910115656083,-3583.726004182539,-1573.9299039027142,2076.5559550860326,-4143.0117161923445,-4187.420818057816
993,4704.822735818907,4704.822735818908,-3926.0693566885043,827.815413911896,7890.725452521116,2084.3838759040154,-3955.4830273805355,1632.23967818857,-450.42131653541674,5687.286763521099,-1329.7876270602796,8961.033930348056,-4126.287425862626,-1303.7699401738855,-4119.83457156572,-3705.763625984194,-4166.068223143589
1024,4704.822735818907,4704.822735818908,-3777.7001589883776,7866.436270732988,2735.329184101365,-3898.090119808689,-507.6338817172009,5844.020454110635,8590.772972551611,-1909.4828019105857,-4103.744710593182,-1149.0444413014116,-4127.927108842243,1355.9466193671642,1054.0255916484575,-3885.4747424464567,-4087.4331269040576
1055,4704.822735818907,4704.822735818908,-3602.0571210748612,8201.93019397047,3150.267602767185,-3738.5424675813074,-619.9421025929119,5962.729781411754,8127.337410743316,-2487.9651991024557,-4086.230280844328,1224.837202284426,-4046.4155135363217,-4047.3071716495037,1075.906555027942,-991.7424126742949,-4122.806477149111
1086,4704.822735818907,4704.822735818908,-3424.2492879185984,3494.792855303127,1075.877979612138,8603.864893251994,-705.2378205951786,6000.221599732966,7629.6654603559255,-3010.4996893867146,-3541.0033600120487,-4088.2068721058195,1144.512405228048,-4057.287213977897,-960.6206885331012,-4118.3381348849825,-4043.4921260698566
1117,4704.822735818907,4704.822735818908,-3259.9891353651915,9012.29362644121,3770.2216451000486,6144.61615926074,6976.284042071223,-3388.1508213929965,-3296.5038550062636,-769.882434079841,-4076.546774369932,1000.6759880945883,1001.2512085038488,-4066.881159924481,-879.3045957136437,-4102.88865941699,-4065.1952342023037
1148,4704.822735818907,4704.822735818908,-3105.666009967777,896.0265496065849,9262.453985291755,-912.6541630953593,6137.708566395435,6680.038713179059,-3324.650662683226,-3330.6140686990398,4019.458136226516,-4118.308788793055,-973.6292338978678,-4070.1815839519413,-4064.640813182791,-4057.201561942951,961.8609355146555
1179,4704.822735818907,4704.822735818908,-2952.496128813068,9512.089408690774,-1019.1470843718375,5966.152160875474,6453.6384161382975,-3277.1571518904,-3238.008570161025,4278.699263101427,-4042.673361612024,-4123.469139516471,-1021.5187412919536,-4065.322407097983,869.1008174778044,-4066.9723692620373,727.08488773302
1210,4704.822735818907,4704.822735818908,-2804.649045914212,9772.308471653454,-3281.649266348316,5902.861521831452,-3136.0063691255446,6001.867198900038,-1025.473551737709,4488.968324689513,-3998.1275551006715,-4135.72470197982,-1090.2767522713543,-4055.488557875296,751.8162747742554,-4061.610577506027,671.1845860102412
1241,4704.822735818907,4704.822735818908,-2662.6103110717145,9992.896746142978,-722.1206112532486,4664.171550215382,5743.842971136546,-3937.403267780149,-3993.1603785889406,523.8316194890576,830.1896680080536,-4097.215768551478,-3310.009477915489,-4137.167890954975,-3077.2742977712387,-1216.607391993095,5398.636840888314
1272,4704.822735818907,4704.822735818908,-2524.2537261935195,10120.85798161968,-19.788492170153404,4849.212752017542,4789.5472993407275,5270.299999814795,-3881.006206322015,-3926.7935748129976,386.61582614842064,956.1516934044121,-4094.529472109997,-3339.8537882549717,-4146.038671652366,-3064.99957838636,-1375.4220424431956
1303,4704.822735818907,4704.822735818908,-2380.9937516722507,10165.408433932904,847.362127534263,5038.868518679597,4252.934127782353,4614.601854940258,-3856.530831756389,-3803.9436547796204,118.64448283403999,1103.3235926335929,-4107.788345962987,-3382.8451446707254,-4128.190632397927,-3032.10636039544,-1448.744416701662
1334,4704.822735818907,4704.822735818908,-2184.6267656082555,9931.520610570278,1737.27236344214,5213.94317177442,3744.007035472395,3868.661178530693,-3672.588761619379,1579.753050717598,-3420.6320966894696,-2954.8366375318947,-3835.985999266765,-4143.133524420816,-241.49331404185705,-1529.1283130114007,-4092.731998317696
1365,4704.822735818907,4704.822735818908,2433.6907723041995,9479.795326319254,5342.3228229607275,3403.9158693616855,3258.4734221261897,-4132.692309022467,-1902.6893650399647,2140.904959967039,-3849.7031034492265,-3534.3451966503144,-802.1820481549485,-3438.873424086793,-4041.3154867543303,-2837.8104844161962,-1519.49175546486
1396,4704.822735818907,4704.822735818908,2896.676624360788,8739.958323453964,-3407.637791383133,2702.803084773912,-4131.476938502406,-1505.786732720082,5421.307346250164,-1489.6185436088617,2826.3458588355634,-2690.6461930661517,-3452.887903387092,3107.717265976449,-3993.412398589071,-1190.730739337379,-3832.61126305665
1427,4704.822735818907,4704.822735818908,-3852.1398800441443,-956.3523857155128,-3448.755421645141,-3921.163529985679,2484.8786903735163,-1427.640089004171,2900.105877471209,-2524.0136349620198,3206.1139747797606,5473.128596764835,7685.276585555988,-3267.691001583284,-4140.947394570836,3280.752334493918,-1491.552721928435
1458,4704.822735818907,4704.822735818908,-219.2072452024222,-3415.3666189697815,-3842.695146288337,-3883.9425750682617,-3144.1358426148454,-4143.550855302368,3840.2474638587637,-1655.2128016547013,2203.186783879599,-1363.7304943434451,2752.110642035388,-2350.7018551593546,3406.9657390148404,5510.043572271036,6305.989233543906
1489,4704.822735818907,4704.822735818908,4917.090808386766,3522.1952300337425,473.2941162992802,5537.9262474113375,-3026.5491865605427,4339.477134616854,-4151.463076933951,-1309.7187006491286,-2186.1702906524224,-3377.833955756793,1979.9982872785813,2684.7711738746257,-3793.5436152742627,-1765.1542523366534,-3844.3199197374206
1520,4704.822735818907,4704.822735818908,3607.240882068816,3554.0196274391838,1136.4263583009424,5487.412277508731,-2884.818166541283,4753.772227960921,-4144.242580640042,-1267.274754554514,-2042.6696272411332,-3326.264308663901,1838.719874977578,2664.9265684298607,-1812.6319551262927,-3755.053809887295,-3809.562614031569
1551,4704.822735818907,4704.822735818908,2324.6590350551696,3475.4189999422524,2525.8831688321543,1842.6574384902542,-1931.4933346933872,1990.27393613812,5173.1961758876005,-3256.8322293511173,-3713.7017149055064,-3754.5133536449553,-1273.0379804575527,-2777.1110925578737,-1856.4432745021663,5349.9241138890375,-4118.879888122021
1582,4704.822735818907,4704.822735818908,1262.1831490752165,3204.729779093538,4748.32303410724,-2670.834966122032,2715.0446409848164,5946.236076256461,-4101.266717580059,-1296.8611963444168,-1862.9390157911585,2117.290337455591,-1914.5657862584935,2373.8096728597166,-3186.732010090416,-3755.418274583986,-3578.9987230620036
1613,4704.822735818907,4704.822735818908,497.354192298566,4069.975735979854,1906.230129069777,-2551.909782722865,3306.8078256231374,6400.864155450784,-1845.534616933316,-3111.7513288407,2603.8977306813595,3244.3927221202366,-3474.0371508949856,-3757.5096209045905,-1282.7930625602799,-1945.5925335565494,-4060.3943948104143
1644,4704.822735818907,4704.822735818908,-2474.0932275591163,-3313.6500028185737,-3796.0017363402217,-1943.3404708111543,-4028.824161650508,6678.791873508168,-1888.8978854251686,-1150.0332001086817,2076.4789340663774,-3007.6938651525606,-42.5297528964702,3686.705723011655,3730.489876599082,1390.54920639199,4082.0486891851833
1675,4704.822735818907,4704.822735818908,-2407.764975601432,-3052.286149980092,-1874.3897332949477,-3931.751402432869,-3998.8661326510964,6934.522091155737,-1913.1947783299743,-1158.06380174772,1756.6008335595461,-2904.640577075853,-453.3250996700144,4106.6072994642345,3280.5936918545785,748.3431017164112,4867.615633033489
1706,4704.822735818907,4704.822735818908,5391.952145272345,-3984.8050955831827,4298.483489165316,2810.479626608876,-744.0681138667687,244.60183029304062,-1712.4437594611463,7041.816321381945,-2379.040262688535,-2822.176384280919,-3950.4354236395025,-1949.0740323813216,-1166.9781178502776,1652.3592607292785,-2730.6714836991305
1737,4704.822735818907,4704.822735818908,5594.059282166929,-3978.3444778348867,4458.069794837946,2244.9104511892792,-804.865877304971,-269.71877228399444,-1589.6155319718446,7117.770594373951,-2112.4341857568484,-3960.9361160077574,-2095.0213277810367,-1437.9112620883766,1986.409810261216,-2561.476590999525,-2590.8957908000775
1768,4704.822735818907,4704.822735818908,5780.469347595001,4400.79486762239,-1791.8655983822991,1701.3118558850783,-634.6675627130635,-748.0807285756987,7111.388439993256,-3930.543172488125,-3897.3506609356455,-2485.3974434883125,-1657.6596491736718,-1448.277482109189,-2432.7687433690926,-2278.3777809636013,2311.024311102976
1799,4704.822735818907,4704.822735818908,7085.465349254625,256.8505800683952,-1084.7286621750218,4141.86013061219,865.2027137706718,-1486.162541849064,-3793.067401563201,-1370.708831838991,-1769.042401466872,-2015.87464434395,-2304.685112958491,-3851.360021125535,-2749.5441954853295,2321.43937482598,5754.355664274605
1830,4704.822735818907,4704.822735818908,-1857.6521926033388,7006.364094863492,2316.76757433857,-2242.918673266734,-3679.251680635485,-3604.0623234548602,-3025.5275780032084,-1410.5983972040685,-1713.211451998026,-1080.9234591539698,531.0664090284208,3529.9117986373194,939.2664604032807,-1375.062934064203,5665.832353112822
1861,4704.822735818907,4704.822735818908,-3451.907133579117,-3415.0276550650055,-664.8486081958076,-2198.10071645081,-1322.752764013941,-1867.0341366396096,2039.148316356729,-3289.2446151655004,-1400.4869164560046,6892.454002148104,751.5456659809715,2637.110005044058,1452.698371445732,-1638.5360218444716,5474.982206434675
1892,4704.822735818907,4704.822735818908,-3356.891974929512,1377.9926756734994,-1770.6353601677547,2431.516243471963,785.5633902119271,-339.385735142876,6683.378762975492,-3243.4290860096494,5058.249182409067,-3343.661921609204,-1174.5154621743272,-1983.1046151028468,-906.7970286821164,1730.8462821027888,-1949.1253530264485
1923,4704.822735818907,4704.822735818908,-3289.9101505019316,4.536962132066947,-787.8541256714925,-288.6589011695378,6453.14335181469,-2139.155581266261,-1821.6584260304485,3727.0552815365263,707.2346028320826,-258.0089694140688,4497.127227502833,-3178.2376312125007,1496.832360489534,-1840.3598749315147,-3282.0861261099744
1954,4704.822735818907,4704.822735818908,-3184.137548660123,408.6401068431105,-3072.1441290193743,-1802.9659525444463,6289.5452848064515,4830.637949709598,620.751706628731,-1690.9839131265785,414.68054790964743,886.6307634024988,-2940.8179945072434,-809.3056089813263,-2420.800066900198,-1675.3211124405448,4145.589966879811
1985,4704.822735818907,4704.822735818908,-2961.1494804449135,-2887.216187572781,6196.773730650505,507.8576162746722,5422.830675706656,2038.6153809328052,-1495.5890078337197,-2257.28985394099,-1869.1860821276323,-1626.425318265262,-1061.324413575584,-2596.809061460308,3860.3767361812197,911.7914946214669,-2183.2562291461436
