Tick,Region0,Region1,Region2,Region3,Region4,Region5,Region6,Region7,Region8,Region9,Region10,Region11,Region12,Region13,Region14
32,519.0023729553288,4792.387531028386,3730.2325925537552,673.1402462391995,489.5338367475175,3470.520485248657,7447.6264374823,13446.62928797094,3275.2979662623898,1323.4051479152415,7921.370243913854,2001.8982998769886,3154.932432170198,14816.042640250404,3510.321516668471
63,652.0643960042958,5048.571571661312,4628.696436322381,13072.3513265511,1351.2198924944062,2976.0483361196193,636.6457739919309,833.7113410211468,7188.765082151793,3429.9962134481066,6902.8515762282,1818.2027127309793,3041.0824314141937,14702.17673283988,4289.957214304292
94,14503.123819356377,1784.682212298353,2930.8944013515943,4793.089382221698,6322.585398655381,5345.847092977148,12929.973349469172,4748.170427185362,713.066387246461,1350.4090821133175,3374.264935953933,7135.0700153403795,3005.2655623796327,715.7818637790801,920.117106955746
125,14397.905975100599,1694.350578509532,2803.942840289804,5285.953221526165,5983.5564389501915,5877.483879176045,12460.42871209933,4472.936185556132,739.4795545971801,1359.2095595163269,3233.308982587245,7471.465617797109,3027.7632253971565,752.0763786283021,1012.479887552517
156,14267.737898627414,1754.6173250488669,2687.4564306383154,5774.53770191386,5760.922407782836,6229.041791277813,11890.085565146543,4275.917358565954,720.2764206390442,1364.1361200838771,3112.626918031113,7976.656241571625,2890.4864913132283,803.3460249188826,1064.4963417242602
187,6608.933768224264,14135.808288381277,3897.660008850254,11421.428367549452,1375.0851434890676,752.0761480266701,768.5637161395091,2889.1891797231337,1078.914565863622,8261.090788943651,2959.9775077160925,1744.97227105196,2517.651809723644,6331.982003331263,5829.007470269773
218,14055.961522797157,3655.955508498087,10967.842520895058,7219.2792485510945,1357.513887181093,793.2941263701339,761.781006062479,2896.9576811437887,1136.3509356927316,7967.313731463484,2699.288373789429,1757.094727731556,2400.727321659082,6901.690198040094,6001.290247408362
249,3409.512497390411,10406.726107858327,7313.356447254581,1341.4735482043918,729.8136456248377,730.4469650179733,2741.948877652846,1120.37731361522,8286.25341294257,2640.9025329626716,6330.348526396521,1838.6787433648142,2323.160789024359,14073.545831572606,7285.795798401503
280,7716.539353862344,3245.2407416644965,9838.675534605656,1362.9777238114746,663.9705223819666,670.7735035178825,2655.2852170992674,1068.0518052741336,8102.173804238238,2496.395524897077,6665.07529593528,1794.600525175987,2417.5854693091296,14209.145694902614,7665.850320608087
311,9366.887822964001,3188.8814453726045,7478.58749828314,1356.2007310873305,8304.349802405635,2454.60446767604,2413.5977658526067,1048.0547699919273,581.4310494324627,590.0663532053443,7150.783396971923,1736.6924609921716,2514.977998928676,14477.490226072465,7909.735248047301
342,9069.656488086348,3248.368073932629,7565.782575234621,1293.4930233059788,7767.828458980374,2320.3562054447602,2224.9830483168025,1016.4271686019679,544.8867171996665,551.9293859062197,7534.928361178859,1710.6126387785557,2817.4088811516194,14804.275633108027,8101.40437805721
373,7009.553310259556,15127.893867270743,1604.6503710715226,3217.3809647726803,8234.973701054512,7938.92715891922,3206.3351354984757,967.6534649566755,542.0703075737824,558.1994336844405,2020.6461455591532,8597.90183217423,7928.169771232315,2377.250648127395,1240.7349251289272
404,1415.7990885499275,8117.141882193535,3741.4045854416727,8405.294196227434,6284.67922003246,8169.438642781256,15550.757536693227,3153.8630778785173,1223.3225036542194,545.5001828947786,565.979908992987,2524.1274696886126,865.5261672243307,8078.863025160876,1930.6435498698
435,1188.8597437557737,4353.0578410596745,7950.740915224775,8844.060756171759,5639.402809098221,7779.462739882989,15846.039668099971,3249.3082631888187,2724.315234495007,8004.099926727306,1874.6258694786395,559.2008211757126,537.768913571985,810.2228571111336,1211.174678241868
466,5596.142741855588,1053.2971562483176,7578.938150288579,4986.495210974295,9299.88163,7575.9441172240895,16039.889997217884,3389.2447125065414,1232.4951286644055,2129.59565464489,7093.904916456038,2716.2556600127473,768.1989400528361,548.0881782756446,563.9688428617769
497,880.9895159581223,3197.994832337715,5525.410250294218,9748.465844373542,5666.025362788715,7212.241831951504,7608.050001495467,15983.84505837686,3233.0916338197862,6217.128914918438,2227.177262595742,573.8612144804027,529.7257634513495,738.5307938553999,1229.8027565863713
528,769.5328036553784,10108.719721892778,6338.748567501558,6792.940699648295,3335.424281136423,3207.715025498748,562.1930707616391,551.1049678398688,5778.223297012056,7277.616886568678,2487.404909261544,1250.6412038951703,5421.51887206502,15979.478495596191,711.0782349502808
559,715.9683375658669,10461.42179716568,7045.009177858101,15875.280862067679,6101.763562507133,3642.5815122739823,2729.0173836952317,542.34461558833,559.4246273707151,5143.60763580535,6972.31029732091,5244.4101303895295,713.9260152266306,1358.6785293870735,3466.5965530614235
590,10725.442467419787,685.3211473507737,5441.050252138206,7590.413264246018,3417.944331171852,6682.442278157699,15970.30395039408,5013.445680476708,1390.1580485929683,3341.3640094758152,3499.366189270361,4982.085781764491,574.957635653114,544.364362742091,713.6816384296701
621,11461.145363708312,4702.705210504422,729.8917846707604,4529.081985797812,8259.92972302384,3859.598065769115,16080.044781533761,4860.270830877903,5716.927606447812,4014.339782339227,3026.315397170327,633.3162894635125,1420.9676572492465,707.1919599159871,570.614598811596
652,962.8087436023793,4293.060416941365,3826.1979640543195,12192.485370211296,708.3433193543997,15821.839651788127,8931.022880072296,4176.635466229105,1398.6752365547366,670.925658102827,4829.5222831987185,4890.255087107291,3925.114231722326,3393.9505638597675,551.5041644846832
683,1493.0600050061935,3276.9633616139927,3954.7165947727813,691.2673888249725,12876.679120588631,9112.088034410119,4161.006056990234,15383.539590551825,1457.8107178135658,703.7550053970028,562.5364790738723,4027.1069357676747,3986.959033523887,4424.509704995507,4460.3430079533755
714,2746.7604683850695,2801.7529855670914,13131.029375542323,8832.764153380072,4302.665944348068,3664.044337464721,4814.655544117477,4062.5168420711966,14981.282042987687,4089.437009391282,745.532835040199,1399.3264407593022,531.022597631953,706.6438442664892,3762.9066163307007
745,3400.748448476841,3018.0146177716156,4367.07743305719,4613.338586327828,12977.991197611356,4178.719529325677,2090.5680163128714,14588.958786257934,8747.519509122574,5454.369961846179,769.9416230105847,514.7461274662862,1287.1890632579448,3865.607075917847,697.5510615209
776,5538.951091113957,5081.470862939293,1164.9885740139896,515.3544645502994,12574.31571477707,5816.537851317722,9303.294924335165,1457.1608855326106,4102.6760253019675,3610.1285964885665,3169.5555263057468,14108.995533746698,2676.787492976415,743.2415883531199,708.8819055310122
807,6458.292247887017,5698.814801968426,997.5033974368671,2912.188192937663,527.9748039467553,658.4111366828965,736.5325258023306,2435.4212477743345,3420.7749728272606,12167.032508168775,5997.880528365067,13680.151055490602,9597.487009871735,1366.026768313536,3917.849839810372
838,2146.2545241457406,611.9517484214466,11778.859579691441,3809.454469975619,7047.339222287923,10058.394313821225,1430.0934220942877,541.8040711957955,6347.757823514005,2763.0332079099985,5989.086692386525,13246.663914121496,3295.8427601546186,806.9747248973688,698.8305626661428
869,7536.911660015074,3276.6688890153496,1974.2440504732633,555.6644977305573,6961.8992148572115,660.9543719503657,2343.845561983294,606.9523439195451,556.2232471708969,11395.253472847055,6199.106822697657,12779.727119708685,10476.904174854628,3645.693245854418,1602.292364205632
900,7879.615611819715,3594.2404154746864,1557.925004742923,537.1884229221569,597.5648065956235,2256.894151153634,11023.582500536046,12144.027618124355,10947.871809387181,3586.5966513775743,1792.6292050937907,614.5194033470891,5913.851731039944,7555.753950701039,570.0797549678772
931,8180.38062024127,2018.6605205291476,11358.344005319701,642.1563047001819,7523.408823951435,1154.5107152542816,618.8102424321487,570.5082243900209,538.4487565047679,11346.619502202882,2266.5110572055205,4002.1033285051367,3503.584764661153,10602.749526560568,6245.544644825419
