Tick,AreaPerBot,AreaRef,Region0,Region1,Region2,Region3,Region4,Region5,Region6,Region7,Region8,Region9,Region10,Region11,Region12,Region13,Region14
32,4720.714581504343,4720.714581504342,3828.3785247772066,2463.124935569769,-4247.243723373182,-3979.754997159778,-2164.806735235061,-3250.4309461328157,-3245.1595444861255,7334.29220631729,-4120.634431419443,-4140.679821920719,-2906.8711880526444,8211.001749643558,-1848.3308704943101,-2831.8910208676652,10899.005862833916
63,4720.714581504343,4720.714581504342,-4007.09963312946,-2453.4369765095053,8796.105248248505,-4034.400962434035,-3201.573008252146,-3989.9039234335314,-3603.898893716976,-4151.391089647966,767.1011307452764,4897.997557704519,-3043.864578637296,-2831.112472768903,10655.5754583652,8362.114062839808,-2162.211919373495
94,4720.714581504343,4720.714581504342,-3918.225786632388,-3904.941956019207,-2596.7073532830923,9180.40901217116,-4194.567851723869,-3181.113692173897,-2240.398925466927,-2957.525655389427,8328.588248457769,10814.908480383274,-3568.978679147655,-3972.6929232684497,-3219.39111703668,924.7575932262598,4505.880605903121
125,4720.714581504343,4720.714581504342,-3850.900462381066,-3847.7434793119346,-2718.8720489399548,9581.852709197814,-4207.746676824505,-3244.3584165498723,-2313.4882643664196,-2949.2330043969905,8267.773545053951,10852.31807192215,-3610.3837546621617,4233.160417341324,-3958.448016531467,-3229.358509478644,995.4278899277824
156,4720.714581504343,4720.714581504342,635.8415985360843,4503.295811047655,-3715.182862947163,-2540.3487779635284,10783.511827069306,-4203.781417341881,9994.790668423793,8304.95142019563,-3282.8622867625154,-2899.294252690482,-3772.3469136740837,-3238.4674400918257,-2849.993817107199,-3722.874262827181,-3997.239293866632
187,4720.714581504343,4720.714581504342,590.8128535078868,4323.067778064859,-3760.338676362343,-2730.576501068205,10830.288080135779,-4190.882337787118,10281.40339875429,8348.580212731442,-3271.515050393874,-2820.9668910830687,-3746.4033330790553,-3233.7241149233932,-2910.9384965970794,-3671.253475289007,-4037.553446611109
218,4720.714581504343,4720.714581504342,-3620.0935978534767,-3743.342023886642,-4109.817461968866,600.4987490394196,4071.816755026619,-3242.586443881953,-3761.586212751745,-2738.2441482972754,10802.40880795025,8256.896297142956,-4173.053478057637,-2961.3352158595435,10553.81688042828,-3255.4553211508555,-2679.923585879543
249,4720.714581504343,4720.714581504342,591.4163629189034,3797.8484871230985,-3768.9115119454127,-4152.069784853956,10788.41672174105,-3789.462544194092,-3302.3410487267665,-2976.5738052514007,-3623.918500111139,-4139.715560243558,-3169.9108423428756,-2748.8238426637527,-2529.3911407584437,10860.60504827412,8162.8319610342305
280,4720.714581504343,4720.714581504342,-2740.8089231650897,-3805.569000016603,4107.930716740588,-4130.1026102417,29.99647848729728,-3350.5588282538447,-3648.811593531582,-3862.7348587645574,10939.89086414755,-2968.935851892693,10919.715877748871,-3054.2753558252643,8031.584333504739,-4139.834930118998,-2327.486318818727
311,4720.714581504343,4720.714581504342,-2935.919353509705,7827.325073736874,-2672.888597920045,-2143.908452207252,-2895.384293311771,-4173.65810982513,-3699.050187972815,10980.363717908327,-3954.2890746228845,11050.659279977845,-3841.8382733797644,-4138.560161835178,-3367.7838222862974,-574.4474503600841,4539.379705607875
342,4720.714581504343,4720.714581504342,4753.593312379267,-4096.676549187364,-3890.050238343413,-2848.3045904536993,-2531.9628992337784,-2096.9962813783923,-923.4671686504894,7537.911500975792,-2835.502399763567,11295.662745712074,11075.997222311871,-4155.918534106279,-3805.0018454987594,-3453.076244960734,-4026.208029802538
373,4720.714581504343,4720.714581504342,5133.32329408024,-4095.052132820194,-3934.4368996751846,-2847.2118334452853,-2404.151987499352,-2105.2382567925547,11615.869252506938,-1362.2316013707937,7315.637788587724,-2737.5774327402214,-3944.2034808794765,11088.236843560364,-4105.2465546205685,-3550.9637473844514,-4066.7532515071707
404,4720.714581504343,4720.714581504342,-2905.504070905428,11998.111778787199,7071.251627474991,-2264.462406369771,-2159.722956952313,-3991.6703203894126,5521.752059787676,-1768.2960856176187,-4092.2722356504564,-2596.1574892746744,10921.578621896173,-4008.163878719101,-3597.0673956612436,-4045.29250811939,-4084.0847402866493
435,4720.714581504343,4720.714581504342,-2953.050564687319,12265.191368455016,6828.962068761683,-1980.8347633753247,-2233.700551935317,-4017.5103681973005,5456.970771329584,-1790.1259535111235,-4097.736806873943,-2448.989209574299,10662.550915347481,-3914.8683716299074,-3590.4230853461113,-4075.3713226691652,-4111.064126093951
466,4720.714581504343,4720.714581504342,-3013.301731581713,12519.313100120704,6725.671118184176,-1810.466669948918,-2334.5705049577855,5658.4610621931815,10367.600199769506,-2019.438270751884,-3842.0423521570247,-4139.684979359691,-4047.7058476626376,-4114.809171390254,-4085.4566021522164,-3580.7729948676265,-2282.7963554378257
497,4720.714581504343,4720.714581504342,-3026.0942191658482,12737.070830116325,6556.715927481898,-1561.6156580157772,-2382.7100156493493,10193.40361356088,-4109.868017054353,5654.234934132309,-4132.716702342472,-3603.393125618858,-2107.2683288816206,-3726.2385434746584,-4134.744921056577,-2219.7878141151336,-4136.9879599167525
