Tick,AreaPerBot,AreaRef,Region0,Region1,Region2,Region3,Region4,Region5,Region6,Region7,Region8,Region9,Region10,Region11,Region12,Region13,Region14
32,4720.714581504343,4720.714581504343,-3990.4140023819696,2867.8780704747714,-4279.318466538042,3402.9968717205256,-2776.934561757671,10745.155007220703,8359.22194783717,-2683.893173052822,-1755.510670356427,-1863.606809292416,-4088.129266443028,6234.723433313996,-2696.9749006156862,-3319.9976055862035,-4155.195874542905
63,4720.714581504343,4720.714581504343,5654.110706066195,8346.02080931907,128.5909397264968,-2683.8931730528193,-2776.934561757669,-1755.510670356426,10541.013182367285,-4077.998608986982,-3640.1516092569686,-2223.1006231052847,-3724.946251163626,7591.382820348218,-4015.569335844633,-3287.0699508112148,-4075.9436734916135
94,4720.714581504343,4720.714581504343,5654.110706066195,8346.02080931907,128.5909397264968,-2683.8931730528193,-2776.934561757669,-1755.510670356426,10541.013182367285,-4077.998608986982,-3640.1516092569686,-2223.1006231052847,-3724.946251163626,7591.382820348218,-4015.569335844633,-3287.0699508112148,-4075.9436734916135
125,4720.714581504343,4720.714581504343,5654.110706066195,8346.02080931907,128.5909397264968,-2683.8931730528193,-2776.934561757669,-1755.510670356426,10541.013182367285,-4077.998608986982,-3640.1516092569686,-2223.1006231052847,-3724.946251163626,7591.382820348218,-4015.569335844633,-3287.0699508112148,-4075.9436734916135
156,4720.714581504343,4720.714581504343,5654.110706066195,8346.02080931907,128.5909397264968,-2683.8931730528193,-2776.934561757669,-1755.510670356426,10541.013182367285,-4077.998608986982,-3640.1516092569686,-2223.1006231052847,-3724.946251163626,7591.382820348218,-4015.569335844633,-3287.0699508112148,-4075.9436734916135
187,4720.714581504343,4720.714581504343,5654.110706066195,8346.02080931907,128.5909397264968,-2683.8931730528193,-2776.934561757669,-1755.510670356426,10541.013182367285,-4077.998608986982,-3640.1516092569686,-2223.1006231052847,-3724.946251163626,7591.382820348218,-4015.569335844633,-3287.0699508112148,-4075.9436734916135
218,4720.714581504343,4720.714581504343,5766.8994443013,8219.737843730385,-2725.8949498499487,-1675.8374387153308,10498.117836430578,-2839.7907587173336,-3960.4517142309855,7619.737928138355,-3297.9002462452345,-3941.522098187085,-2104.11439265718,-4053.1154182463742,-4060.2071128301527,8.352215584832265,-3454.0111385058394
249,4720.714581504343,4720.714581504343,5443.717804189795,8376.420881945849,-3790.8009404723575,-3333.5470488509563,-3989.163755713539,-3261.1724345126167,304.71721308585074,-4213.186899851431,-3945.305485529674,-1870.2270446015914,-2838.314021238106,-1811.0792707355104,7506.379426648928,10464.898788354005,-3043.337212718647
280,4720.714581504343,4720.714581504343,5631.639661423298,8505.770071331655,-3582.558382140147,-3263.217616197656,-3960.8428852701636,-3215.6768899465806,133.19711723609544,-4227.142492603593,-3815.8285629207066,-1568.16873156977,-2856.836434266217,-1926.5515364284015,7158.743829055604,10138.960515581874,-3151.487663285305
311,4720.714581504343,4720.714581504343,6152.414836994256,-3438.7283950273454,6357.620826147029,-3251.3101794746826,-3215.067845868288,-3925.701136443336,-257.02113301087775,-4153.760022755167,-3687.5565925996943,-820.8972075675356,-3313.0606123478215,-2888.0226543251983,9834.682029993928,8542.49282741622,-1936.0847411314899
342,4720.714581504343,4720.714581504343,5165.474391304086,8820.830513395458,-3335.0597781173174,-3171.0553318278617,710.827499099857,-3812.2927793334775,-4074.428884994775,-2925.497346827765,-2224.677655432961,9460.993814131078,-3464.9161403054627,-3352.720862080233,-441.26310965067023,-3527.355588097979,6171.141258738016
373,4720.714581504343,4720.714581504343,4644.233959119474,-3500.28952373374,-2388.296870443045,-3061.067638539702,-3264.837521959398,8121.669277081843,-3666.498436258402,-3249.355645022743,-4024.624101919613,-3328.228542605556,-2371.957761128947,-3445.3815563906546,1340.2608417918927,8911.863410982147,9282.510109026438
404,4720.714581504343,4720.714581504343,5643.703518839161,-3252.024732421818,-3508.425208984994,-2094.6318153065185,9109.298243432939,-3231.2833517874446,427.5178838548827,8588.283126449074,-3085.161763555757,-4018.6555372576963,-3451.1542242180954,-3635.169347886609,-3131.266170975906,-3210.4561697187023,8849.42554953749
435,4720.714581504343,4720.714581504343,8970.114191552806,-3102.1217644090666,-3448.525205854683,7806.336790442815,-3501.2977867643945,-2931.388066119008,-1805.9362673921805,8555.220068244525,8266.767828189852,-3420.9253402986674,-2953.0376884403618,-3615.4900048129784,-3985.584067041188,-3277.926215914006,-1556.2064713834816
466,4720.714581504343,4720.714581504343,8039.8790207185675,-2805.130640509778,-3591.496877230976,-900.661503363051,-3371.1726213366182,-3199.5749401998664,-3459.439242330569,-2892.0563038989167,-3974.310252200568,-3083.4790995658836,9630.544997826939,-3955.400116526923,8060.958260984132,7184.762436241282,-1683.4231186077586
497,4720.714581504343,4720.714581504343,9953.698806763616,-3349.6339152544106,-3155.0101404898724,-3296.387522413632,-2441.779035483783,-3673.332182145169,-690.4048194155066,-2889.553375313844,-4062.5082436725656,-2996.923004009699,9756.196381929416,-3920.294165455146,7438.03397515552,6864.049733003427,-3536.1524931983554
528,4720.714581504343,4720.714581504343,-4150.733933170313,-2827.6736570675266,9820.186260912129,-3834.795457653161,6657.791372842496,6363.872055867336,-1984.915170541598,-395.42837104319824,10734.289671983062,-3348.041649626302,-4120.3085485691145,-3873.2307032148683,-2879.337186581716,-3029.157893968363,-3132.516790168872
559,4720.714581504343,4720.714581504343,-398.5110771023492,-2637.501314717997,10924.002334292956,-3246.2487755644765,-4172.402861509917,-3830.537787714198,-2942.9935708708535,-2931.535739934574,-2964.1187850045,5537.371635186601,-3976.3393705675453,6143.510737785292,-1155.7504572091257,9849.87933574824,-4198.824302817552
590,4720.714581504343,4720.714581504343,346.2250226549204,613.8261240245738,-4102.116659350993,5130.063064456746,-4182.23458545294,-2392.648372328229,9882.034462330103,3484.682992607055,11031.837934808265,-3307.9909794262003,-4217.287746397089,-3810.7195428305736,-2994.762119904364,-2759.389676548385,-2721.5199186428868
621,4720.714581504343,4720.714581504343,-2525.696656658174,-3022.621520283223,-2146.2134462002673,13.19908884839333,514.3937042499065,3231.675673751174,9852.994210540764,-4123.761106258286,-4229.055686472563,-2345.151548663661,10866.625766926047,-3407.9648048686154,-3814.441692221061,5300.270041048258,-4164.252023738695
652,4720.714581504343,4720.714581504343,-354.80268757387057,346.01896062234755,3085.4815829704894,-4127.050525855156,-2221.8840844754727,-3051.3107392985385,-1949.1693794833132,-4191.000251427069,-2106.974889604462,10637.745417942178,-3500.5826433726725,-3769.230261831829,5562.867755227569,-4102.575065410737,9742.466811570532
683,4720.714581504343,4720.714581504343,-1048.905544047122,-2975.777759622367,778.0248257119038,2514.282563751154,-4135.028636356771,6237.565404969814,10340.931229459333,-1924.6579213492241,-4035.0527013623987,-2078.950251817228,9814.48765325587,-3604.4248884676954,-1921.957058075885,-3776.173462667808,-4184.363453381585
714,4720.714581504343,4720.714581504343,-180.9342237488745,-2746.7475794220964,10225.068377015223,-1803.7558370427223,505.188671292427,2743.3671753535373,5257.570533571576,-4144.48211280404,-3950.8258750094105,-2280.416217853343,9786.012971735474,-3710.4626714679825,-1742.874227794906,-3836.7528801846174,-4119.9561036402565
745,4720.714581504343,4720.714581504343,10035.85567799275,-1594.7964777284615,1051.4669482375612,-340.2315819501264,3528.5990897495158,9668.41377967793,3888.28760174564,-4138.413031646832,-2298.386548595344,-2592.64822180115,-3834.7710452452457,-3815.723648297199,-1575.9969186495014,-3904.037088361726,-4077.618535127817
