Tick,AreaPerBot,AreaRef,Region0,Region1,Region2,Region3,Region4,Region5,Region6,Region7,Region8,Region9,Region10,Region11,Region12,Region13,Region14
32,4704.822735818907,4704.822735818908,-4076.8107252894524,-690.3442964003984,8654.955852655177,2379.2007251292907,-1923.1018663219984,-4194.797520258194,265.1927426349648,-712.7929900215845,-3375.1302002941884,-4206.823175618985,3513.335076496289,-1337.6846096479376,-2645.022393779211,10123.06254652533,-1773.239165809102
63,4704.822735818907,4704.822735818908,8167.473778478273,641.8245413047798,-4071.609886786824,-3344.579251352758,-3935.1951879390067,153.94959450570514,2319.118597470914,-4067.6572886002746,-2137.6002395044493,-955.8816459993677,3144.746156641225,-2696.458089257366,-1735.6193083808225,9659.211704637368,-1141.7234752174077
94,4704.822735818907,4704.822735818908,9325.300820387301,7821.118982138882,902.2098184082679,650.8842632341202,-4040.239064848771,-2689.467204391073,3139.1168379658448,-1098.390580869106,-1866.298338304106,-3321.3332104706633,-3794.8416592111407,-4011.455659017058,2351.326988511728,-2333.576288749369,-1034.355704784854
125,4704.822735818907,4704.822735818908,8851.90613432485,7373.430073807657,1360.7002038494174,-3696.338862026111,2710.9076562035325,-2671.4611782166594,-1986.7013073345383,-864.0846990685495,3311.936425576653,-2488.7162983551425,-1157.3730020741596,528.681316633646,-3338.0858161108526,-3987.353686846357,-3947.4469603633656
156,4704.822735818907,4704.822735818908,-2623.4729458785023,370.8910239217994,-3931.401913664122,-2299.9892369306936,3297.023292717583,-587.1581107553557,-2371.5469474752845,-3921.0402807877817,2739.074686589748,8684.090776997204,6785.4557042620445,2091.259271241328,-1321.281840413349,-3334.4357671226758,-3577.4677127019254
187,4704.822735818907,4704.822735818908,-2620.5331533769786,44.110557181099466,-3932.4591252678815,-2131.20909995627,2964.7395064403445,-75.64863169780074,-2580.6474314852553,-3892.3169228450042,2876.617560531815,8860.17407395081,6318.868856821628,2594.969568377056,-1533.599923259725,-3363.4621115866676,-3529.6037238271647
218,4704.822735818907,4704.822735818908,5684.436026666278,3328.694513573685,2788.472876010418,-3905.4260143090346,-3412.6567205294245,-2724.8447882582923,-1647.9366448785013,-291.83912210564176,-3978.7020136497545,-3379.929099148042,2803.903745536525,-1840.2594038547659,-2748.7290711468495,9130.367839486113,194.44787660730162
249,4704.822735818907,4704.822735818908,5088.428431979136,-246.6209748403071,3404.7429343563554,3199.9949748644012,-3405.4279466755984,-2760.18828115625,-1679.1035681732792,-702.1576779210623,-4050.8349197980515,-3414.135945403653,-3909.2366495311185,2295.4602770066876,-315.83697301349184,-2933.2353639235416,9428.151682229789
280,4704.822735818907,4704.822735818908,-581.938757803875,4661.630817860486,3476.4585432863214,3309.4799252587172,-3423.225894342321,-2767.9395463782303,-1836.9756543700964,-1036.3036640187293,-4129.141165435229,-3417.620418695184,-3953.609268192775,2149.628581224374,942.4637000110552,-3022.34509848388,9629.437900079382
311,4704.822735818907,4704.822735818908,-807.4150640224916,4234.698674774221,3353.546952592853,-3466.7287559166016,-4040.3450459271344,3422.029230218581,-2754.3722925578313,-4158.9520222395395,-2121.326174188286,-3426.956899853956,2474.090741192398,-3117.057737247995,-1190.6152711445493,9991.045491643003,1608.35817267733
342,4704.822735818907,4704.822735818908,-763.6237184933134,3907.9565061946287,3253.726081854703,-3496.5313054250873,-4132.513613915286,3160.7670295583594,-2674.720049378756,-4153.586235713061,-2433.6084696437133,-3439.7501000961843,2870.3941190113283,-3092.0922940841565,-1323.4364699249454,10481.545179411101,1835.4733406443866
373,4704.822735818907,4704.822735818908,2905.132063257789,-690.7200673781144,3498.874675246442,11149.190091161563,-3036.6345459829117,1611.2911255880354,-3442.985685309871,-4170.462767985008,2944.5850355187467,-2633.952510010052,-3492.609224417053,-4138.640959568441,-2595.237789405468,-1302.7168534481457,3394.887412732499
404,4704.822735818907,4704.822735818908,2074.243594730505,-418.68797220862143,4082.950593757965,11566.61177412524,-2955.913619737312,1310.4204038182088,-3443.36136065755,-4180.500678540776,3316.418871052847,-2350.6736543038123,-3497.3261905387735,-4145.126656856236,-2822.0851440770007,-1358.3702645656276,2821.400304000944
435,4704.822735818907,4704.822735818908,1630.040711483578,1646.8897922422793,11920.438939576277,-772.9500701238303,4632.883061545298,-2798.6767381096656,-3452.4352600747256,-4182.358880077927,2847.9029372397654,-1984.8878625381203,-2917.4740835413654,-3519.0039562351403,-4167.795532120533,-1465.7063172406874,2583.133257974785
466,4704.822735818907,4704.822735818908,1737.6792687948664,1467.2916780393734,-769.9681355286211,5345.09190469163,-2681.7640006074084,-1466.2711048940473,12093.45484444911,2566.032833255438,-3536.3715446785172,-2856.7278446860864,1779.6669696747867,-3568.4466755023764,-4174.139231161614,-1774.8430923296282,-4160.685869516902
497,4704.822735818907,4704.822735818908,1688.0804398738082,1074.8333486352303,-739.3088084954134,6071.433931184302,-2493.6129855104246,-1296.8956617614958,2132.4279805248525,12256.713323686585,-3518.528101835718,-4157.627341405229,-4167.264194814465,-1708.580167902598,-2761.0908930298237,1298.262069219717,-3678.842938369312
528,4704.822735818907,4704.822735818908,7342.7753710089955,-2321.653005600359,417.71991096932015,-727.8985623649919,1654.6283240812436,-1231.9279625976096,1963.2421051271367,11972.256850197628,-3493.9071982887644,-2538.704502145446,605.3702069667952,-3804.121874019075,-4144.64438860223,-1532.7703900181073,-4160.364884714519
559,4704.822735818907,4704.822735818908,8783.078602089998,-2106.166019571267,529.9111591327464,-1219.995300310421,1280.5387864054992,11553.593889597807,1638.3262498582435,-2284.5081637436638,-59.828351945649956,-3867.4632099536198,-4139.261647707085,-4159.706102584143,-1312.4944168420539,-1188.1866690752522,-3447.838805351123
590,4704.822735818907,4704.822735818908,-1922.3980114220576,506.3391799810479,-1423.851676489643,10228.777899040864,-1207.3913518076215,373.64424108866297,11103.235758382798,1499.4154153202917,-3443.0945890715125,-1250.7018124240558,-1849.4120741396264,-443.8515348415385,-4139.223795978953,-4142.002210766461,-3889.485436872191
621,4704.822735818907,4704.822735818908,11464.095846526934,-1654.6479688770164,-1144.9204796541171,577.5185148388737,-1370.0886478036082,-284.8257619499673,10210.367854487406,1266.31522467804,-1460.5948841183285,-796.3977924051978,-1220.540322617806,-4146.64390262984,-3394.2891151709473,-3890.257851673764,-4155.09071363066
