Tick,Region0,Region1,Region2,Region3,Region4,Region5,Region6,Region7,Region8,Region9,Region10,Region11,Region12,Region13,Region14
32,7062.609985705287,2137.6622555068625,1688.8470913302901,9615.152008396737,4965.440075967282,5553.429826052025,1708.0056580854184,1785.8539424405362,6946.162003097446,2020.4904270618485,8338.5882201215,2059.4895214879434,5509.935505176373,6752.408139771664,4428.266377082422
160,1831.2489584042664,5019.560819762703,7851.813802827931,6148.016725816569,2143.4445988261914,7324.639729854074,5593.630312584433,5231.783487816136,6134.9979257305695,1815.6034180158006,1814.0009602866025,9779.872302003274,1873.8801421835733,6078.219818166512,1931.6280350049988
192,7421.160019025323,2227.636725094816,1980.176605191322,1939.1292713573075,6531.9738710369165,1870.7362033534248,5026.952820602426,5995.4842971741455,5113.038453974894,8180.754981996063,4457.190847591399,6308.043441532245,1911.545520491996,9724.478519146216,1884.0394597151405
288,6405.323846102728,1934.9973689177789,1908.1601576836888,9697.635671589635,7982.322512877223,2064.0073931356715,6253.740372695756,6120.314306546532,4628.37728400874,4317.367391630346,6413.367900304673,2046.297744894005,7055.751729110765,1800.3529507845333,1944.3244070015653
320,6606.13437266386,1924.4076602152088,9598.532392005893,1907.1720829215033,1815.1734004064288,6897.22067871942,1987.321313208598,4985.251653198759,4626.328023908754,8002.266161891311,6139.545230912134,1907.1928254086886,5853.225089668584,6178.495482676765,2144.0746694777235
352,7407.994007581834,6581.1237143791095,8155.029704361805,2076.4563588507217,6052.821063637402,1775.8285982284417,1790.9282541101718,9734.345219999816,1783.1654552233022,5191.266981541965,1981.8362207270852,1923.2414226274118,5043.257239746059,6420.626138954608,4654.420657313902
384,7249.688313779945,2115.9768750610147,6889.622602428028,1880.7065761663362,5881.952054482812,5525.697664465272,9951.22392328961,1877.1225598520812,5293.291231335251,6513.690047694165,1817.5360025276107,1958.694656609031,1787.4997654175838,5252.004116309872,6577.634647865016
416,8333.35039001834,2150.315309604722,1817.7909601540646,1993.87962848198,1754.886138346041,2189.5946133633634,3605.8496671615094,6439.584232697077,4475.121568932748,6652.458851625206,1967.766180579407,3731.460766353341,7477.2856299745645,9816.877422451129,8166.119677540138
448,7412.042010185494,2113.5105723321753,1934.0358152368985,5145.193715844692,6365.481549153459,5092.131034164016,1948.10203290645,5945.686572891313,8200.420842048386,4361.982367809082,1907.242165024983,1770.32593476831,9910.472184487586,1815.6369683451937,6650.077272085593
576,7096.471337865384,6145.314679624673,9797.182249107162,1878.4895331099528,2222.4296383635647,6881.195643505553,5032.796222602678,2309.37487731514,6187.478497502248,7561.958459608872,5763.604615612581,4249.1032726889225,2041.9896462097108,1578.7892639403353,1826.1631002268548
608,2957.9474197898344,2710.1970535300916,2052.1054750563553,8910.748305078505,1779.7782213470236,1929.594756311885,4773.171559285615,7480.770494335302,9898.07631048817,5941.966578318791,4269.322997861915,10848.786953663272,3339.59906083142,2305.32152549718,1374.954325888278
640,9658.418633055855,2378.233957276964,7623.794313871454,4208.740411453393,10137.009155418518,2076.7058109128416,3139.050015904495,10151.359819179443,4089.59443727084,2511.630603520326,1659.4937486289086,2134.167087918259,3707.027793989963,979.0310157595359,6118.084233122836
672,10542.435550262919,2043.3275583463446,2340.9628769988813,2437.8158073202612,6125.124324348528,3889.6232347564023,8517.474437859137,7377.823578857981,9380.94860256253,1062.2155899525046,3141.9569858705177,6156.769194870729,3924.4739006916607,1730.5157036778335,1900.873690907409
704,10363.560185985547,2521.515984568304,2483.8020717905747,2526.55540775813,6679.898251071629,3534.415872055456,7302.748081861809,7241.621626856652,1035.8653587634503,2173.017152825215,6724.632806745577,3405.7669755604825,1687.5511610757794,2416.5407367134417,10474.849363651581
736,2834.1201509615385,6641.572851574304,2123.988190656134,10674.544725549931,4424.047360256792,2887.9873610133964,2271.145830932809,3798.9384576224465,8764.327240169632,7221.304389681597,1543.9808894154075,1081.2662325979156,10476.89290100654,2013.4697804653133,3814.754675379875
960,9838.872736680827,10064.907846477929,2599.6280278230465,2853.652728768261,2752.4926781807917,7532.3630838024455,6898.056221028636,6518.852743010959,2116.1476629156923,3299.184561744014,3913.6217560501595,4221.888417466597,1911.647180126751,2515.671618634945,3535.3537745725794
992,2870.5632863701035,9590.971166721925,10254.651727160073,3834.670487489391,3432.8188103536368,2127.2397224012525,3555.6981039859443,2776.0595512172004,2177.9795797363063,6488.917179038135,2529.496217289472,6498.869052205082,3000.8426754953744,4126.891150047183,7306.672327772555
1024,2997.443098039463,9505.45007650205,10207.966877121875,6369.829538730097,2371.160390420022,3111.740999943397,7314.579203686072,3938.5848783294814,3473.9020973503425,2082.9062992157433,3692.572249830063,6232.7344692220095,2915.861737966927,4151.7308679782545,2205.878252947834
1056,2923.8510170573827,9591.78916761101,10323.255937619102,1982.1470691276713,4155.872685166851,3461.214917604655,2099.5187039874368,2320.585643156227,2930.8528243612423,7509.627342765684,3398.9386115714456,6495.7978422401075,6208.78434511705,3151.83655964478,4018.2683702529885
1088,3011.567978166116,9457.294409594802,10232.249813865672,6528.680613114679,2470.6409302599645,3047.9698804249733,7812.963070786139,1759.015626479917,3409.97885514974,3799.9108173237937,2675.466111188601,3529.671128639774,5942.514991720092,3698.429861732236,3195.9869488371364
1152,9454.478985008025,8907.695581997723,3541.502831617882,2652.7879825541554,3064.3466738962748,3810.6635777348392,3229.3276981310614,2655.4568464744398,3462.000669790004,6462.346096982537,6003.600060040482,2804.160862275545,2473.4692616280636,3390.736872034082,8659.767037118516
1184,2917.378593478164,9370.109258783654,6468.386146315777,2514.396420213643,3302.2463388107744,2575.3865336695226,2838.3368354976487,3285.6183455748333,9059.504945971741,3206.4281834097187,3910.2456799434917,3168.9478097626534,5975.204503937741,3107.169523660467,8872.981918253803
1216,9309.888134237299,8704.068230104142,2542.511443271993,2882.0061893818515,3311.2711018401646,6356.70035585854,2817.616227854721,2786.2584776889635,3675.2804491481465,3499.146288715173,2584.0986868479886,8780.151538271555,3847.7145295310897,3377.1703635597155,6098.45902097229
1280,2594.0069852030524,9094.561468485488,3146.568309236127,3149.6458787174756,3013.3013944245236,8332.124300886097,6080.019867453182,2802.84950381854,3262.431456601195,3689.9256663387805,2532.063558937568,4094.122748237385,3783.5349215728834,8738.478883366919,6258.706094004415
