Tick,Region0,Region1,Region2,Region3,Region4,Region5,Region6,Region7,Region8,Region9,Region10,Region11,Region12,Region13,Region14
32,3493.1460193449702,4849.985381507269,703.4010702552221,473.295871293618,668.4778466642379,2541.8654225730425,6811.689549004832,13170.306963178311,4300.060504042151,1269.029205801216,9060.437044950937,2950.7283905714676,2834.6809397596276,14498.144622120732,2947.092206216001
63,3448.9471443888815,9060.437044950937,2834.6809397596276,2950.7283905714667,14498.144622120724,2947.0922062160016,4925.245842090899,12900.07131078615,1284.6965735494698,699.0308637073188,563.873751153932,4319.2994139000275,722.9127085868452,6929.915977307786,2487.2642481935645
94,3448.9471443888815,9060.437044950937,2834.6809397596276,2950.7283905714667,14498.144622120724,2947.0922062160016,4925.245842090899,12900.07131078615,1284.6965735494698,699.0308637073188,563.873751153932,4319.2994139000275,722.9127085868452,6929.915977307786,2487.2642481935645
125,3448.9471443888815,9060.437044950937,2834.6809397596276,2950.7283905714667,14498.144622120724,2947.0922062160016,4925.245842090899,12900.07131078615,1284.6965735494698,699.0308637073188,563.873751153932,4319.2994139000275,722.9127085868452,6929.915977307786,2487.2642481935645
156,3448.9471443888815,9060.437044950937,2834.6809397596276,2950.7283905714667,14498.144622120724,2947.0922062160016,4925.245842090899,12900.07131078615,1284.6965735494698,699.0308637073188,563.873751153932,4319.2994139000275,722.9127085868452,6929.915977307786,2487.2642481935645
187,3448.9471443888815,9060.437044950937,2834.6809397596276,2950.7283905714667,14498.144622120724,2947.0922062160016,4925.245842090899,12900.07131078615,1284.6965735494698,699.0308637073188,563.873751153932,4319.2994139000275,722.9127085868452,6929.915977307786,2487.2642481935645
218,14783.783517743386,4965.6247882483185,3943.7226930891975,2573.249572427653,9106.353895562186,2864.925902131447,2962.770315754088,12523.959842629685,1322.7949571293022,713.9040862843681,610.2985396992034,4541.312875265167,739.7782511993466,6566.662008501137,2353.199791619144
249,4693.577444769451,4656.468977026463,11543.956307437456,8972.22584005605,3175.9930483455223,2313.2988986164282,15191.81522466696,2637.750191933802,1426.614268032667,2105.847798238349,6176.780097847743,794.0444613194377,652.9409001761436,5460.180813028461,770.8467657887054
280,4913.845683417428,10710.316731657853,8806.650688456153,3478.7638149592244,2557.004085448287,14860.84456533565,2380.223867307187,5450.447192273858,1485.422387163596,1959.4915110432212,5811.308607035851,838.4168807180282,763.6740528402379,5670.9294268129115,885.0015428141511
311,2160.2685571902352,5002.437344925869,1945.4325730424775,14047.80402815036,8800.056188890016,6277.222667537781,5563.626817157464,10372.488009577914,5496.905885986388,3589.5001609040664,2968.3496340795277,981.3313713243065,1036.7454844480344,893.2833944867505,1436.888919582449
342,2020.5597585050077,9213.68105203861,2730.8709288499963,4020.138154926105,6040.505463534875,12869.892752963417,9605.558422064416,6183.681165687439,1553.559678742421,4705.686780334543,1259.8769067780952,1129.3824519505883,1894.535481145896,6346.387232816367,998.0248069458552
373,1766.9224304661684,6256.335415566085,1295.3199405846417,1078.4404412462081,1620.6575232467635,11645.909203331397,9711.328398513195,2808.0059635629614,3991.9940882734045,6492.307452541914,1941.1010041422037,5017.034377953454,1630.844832399171,6597.717909705025,8718.422055751043
404,1495.0751909249318,6746.114079996907,1400.4812238723866,1177.3664393470197,1993.4016734687084,10160.156351273374,9800.006310665942,2694.3049600664017,3993.9059910763676,6791.332195518543,1978.023213169013,5212.756065494823,1742.047356249113,6598.197836436251,8789.172149723856
435,1406.9363235266612,6954.851609035405,10077.445650821273,10056.247192739533,2443.9253809893917,3974.3483438672765,6469.238148408881,1725.520363744549,1377.6203320254842,2269.5087722426397,2012.3327012738098,5860.488307415658,1733.3075478982864,6346.734926063003,7863.835437231783
466,1163.9860443544935,5986.858824520541,6869.7482753801005,9297.3580613015,9860.728804072307,2520.4934657737085,4131.390479347239,1991.3422897102723,1469.87131840411,2636.0221446592072,1974.41303264354,7385.135234520079,1875.9720354641518,6539.392165672843,6869.628861459539
497,1156.8969821612777,6725.897215839744,8796.396129429735,9708.731645914462,2386.777429463799,3834.822304066829,2185.988222563377,6167.749553076475,1583.0722551916633,3048.4296580301525,1949.63250387526,7846.559248340805,2024.8962335324136,6928.752113991043,6227.739541806594
528,1040.0345401545417,6296.433637080443,7419.4092555467505,8207.940960636983,9506.536992548023,2174.931602999559,3710.354485619389,2459.1089780112957,1746.1327764532293,3474.6954261163155,1933.7438828273528,8378.35901078876,1968.1251639519437,5945.801727131113,6310.7325974179375
559,931.3031917435482,7664.016482402042,7939.578374549438,9391.41490121564,1984.8524157563745,3459.81608754927,2712.157187708589,6457.352889605273,1861.5554287049108,3863.722128055632,1994.7442684759042,8393.721640690204,6267.2859916970565,1897.0042502537278,5753.815798876029
590,786.5402717474926,7758.240115899448,2017.3331500616534,7848.830274339066,8913.891380931758,1913.583418298613,3491.4955959734943,3970.399866912741,3118.0345127744417,6129.882080265464,1911.11624615235,9182.19641683586,5737.664737627256,1851.4955796291606,5941.637389834834
621,677.1004979043731,7994.8300507253525,2104.2677566391058,7343.953507833099,8414.394498780111,1862.1543647250107,3412.813105328568,3997.2258588466866,3445.6900556596092,5956.749320628785,2085.9414194369147,9993.82909747549,5823.292348833169,1705.9137049670449,5754.185449500315
652,564.4783065472817,2069.4706267735364,7532.950311227137,6759.283585904046,7738.545642240628,1842.8265575016426,3530.445875843702,5926.090510450722,3779.602181784455,2153.017492396419,10701.928878491737,5725.250761807819,6451.031475465973,1700.3712085468535,4097.0476223016785
